county,year,month,season,total_rainfall,mean_temp,max_temp,min_temp,mean_humidity,mean_solar,mean_wind,dry_days,obs_count,temp_range,drought_flag,is_long_rains,is_short_rains,spi_3
Migori,2015,10,OND,134.13,23.684838709677418,30.654193548387095,18.65032258064516,65.25806451612904,20.820967741935487,1.9387096774193548,13,31,12.003870967741936,0,0,1,1.151947225658345
Migori,2015,11,OND,226.68,21.32,26.604333333333333,17.458333333333332,81.13000000000001,20.168333333333333,1.463,2,30,9.146,0,0,1,1.013027290657634
Migori,2015,12,OND,434.24,21.023225806451613,25.58225806451613,17.366129032258065,82.72387096774193,20.83709677419355,1.2851612903225809,3,31,8.216129032258063,0,0,1,1.1011120949722597
Migori,2016,1,DS1,107.49,21.431612903225805,25.980645161290322,17.490967741935485,80.36903225806452,20.03258064516129,1.4554838709677418,10,31,8.489677419354837,0,0,0,-0.8989566479772728
Migori,2016,2,DS1,19.57,22.66103448275862,28.685862068965516,17.131724137931034,71.9703448275862,23.248620689655173,1.659310344827586,23,29,11.554137931034482,1,0,0,-0.7667367924077936
Migori,2016,3,MAM,87.69,24.421612903225807,30.752258064516127,18.878709677419355,69.24451612903225,24.509999999999998,1.6241935483870968,17,31,11.873548387096772,1,1,0,0.3492342328903625
Migori,2016,4,MAM,187.94,22.226999999999997,27.486,18.255999999999997,79.28,19.82133333333333,1.6463333333333334,4,30,9.230000000000004,0,1,0,1.0572126885469544
Migori,2016,5,MAM,102.96,21.366774193548387,26.572580645161292,17.01258064516129,78.60612903225807,20.700967741935486,1.5458064516129033,9,31,9.560000000000002,0,1,0,-0.43020002624602605
Migori,2016,6,DS2,19.03,21.825333333333333,28.13266666666667,16.635,67.37633333333333,20.317333333333334,1.9216666666666666,26,30,11.497666666666667,1,0,0,-0.997921463543948
Migori,2016,7,DS2,18.21,22.49741935483871,29.503548387096775,16.429354838709678,60.73870967741936,19.97193548387097,1.761290322580645,26,31,13.074193548387097,1,0,0,-0.5857494825631981
Migori,2016,8,DS2,15.299999999999999,23.88,30.99,17.339354838709678,50.344193548387096,21.79032258064516,2.3225806451612905,29,31,13.65064516129032,1,0,0,-1.1291586269167575
Migori,2016,9,DS2,55.58,23.791333333333334,30.633333333333333,17.981333333333332,56.046,22.942999999999998,2.1373333333333333,17,30,12.652000000000001,1,0,0,1.1522756376590726
Migori,2016,10,OND,53.75,24.107741935483872,31.11967741935484,18.004516129032258,57.715806451612906,23.57709677419355,1.995806451612903,21,31,13.115161290322582,1,0,1,0.5366557396167052
Migori,2016,11,OND,82.36,22.881333333333334,29.395333333333333,17.669333333333334,67.169,20.63533333333333,1.601,15,30,11.725999999999999,0,0,1,1.1528145671531507
Migori,2016,12,OND,21.21,24.312258064516126,31.47290322580645,18.121935483870967,57.549677419354836,22.813870967741938,1.743548387096774,26,31,13.350967741935484,1,0,1,-1.0207203087127381
Migori,2017,1,DS1,7.779999999999999,25.50709677419355,33.29838709677419,18.7241935483871,44.15709677419355,23.54258064516129,1.9925806451612904,29,31,14.574193548387093,1,0,0,-0.7379714067903863
Migori,2017,2,DS1,94.46000000000001,24.99642857142857,32.73321428571428,19.146785714285716,55.86714285714286,23.581071428571427,1.997142857142857,15,28,13.586428571428566,0,0,0,1.1426771168446823
Migori,2017,3,MAM,152.49,23.135806451612904,29.61258064516129,18.51451612903226,72.11645161290323,24.38258064516129,1.8419354838709678,12,31,11.098064516129032,0,1,0,0.927963395373674
Migori,2017,4,MAM,184.26,22.761333333333333,28.976666666666667,17.987666666666666,73.35733333333333,22.767666666666667,1.8686666666666667,12,30,10.989,0,1,0,0.8899296857292065
Migori,2017,5,MAM,188.31,21.842903225806452,27.67096774193548,16.86193548387097,75.38774193548387,21.74258064516129,1.9567741935483869,12,31,10.809032258064512,0,1,0,0.6774959691385606
Migori,2017,6,DS2,53.620000000000005,21.770333333333333,27.515666666666668,16.966,72.11233333333332,21.096333333333334,1.938,19,30,10.549666666666667,1,0,0,-1.1542971992433801
Migori,2017,7,DS2,34.97,21.91322580645161,28.32161290322581,16.77,65.96709677419355,19.258064516129032,1.8932258064516128,21,31,11.55161290322581,1,0,0,-0.6852051951696853
Migori,2017,8,DS2,24.63,23.247096774193547,29.976129032258065,17.460967741935484,60.336129032258064,19.864838709677418,2.0832258064516127,25,31,12.515161290322581,1,0,0,-0.8923123566990777
Migori,2017,9,DS2,89.75,22.697333333333333,29.073333333333334,17.604333333333333,65.558,21.301666666666666,1.9813333333333332,14,30,11.469000000000001,0,0,0,1.1420307496067985
Migori,2017,10,OND,87.57,23.110967741935482,29.82677419354839,17.694193548387098,65.97258064516129,22.888709677419353,1.9238709677419354,16,31,12.13258064516129,1,0,1,0.5476271050499227
Migori,2017,11,OND,234.35,21.96333333333333,27.496,17.28533333333333,75.40433333333334,20.980666666666664,1.5013333333333334,10,30,10.210666666666668,0,0,1,1.1546035991763712
