county,year,month,season,total_rainfall,mean_temp,max_temp,min_temp,mean_humidity,mean_solar,mean_wind,dry_days,obs_count,temp_range,drought_flag,is_long_rains,is_short_rains,spi_3,overall_cpi,yoy_inflation,ipc_phase,ipc_phase_label,has_humanitarian
Baringo,2000,1,DS1,4.35,21.88806451612903,30.85225806451613,14.214193548387096,47.36967741935484,25.463870967741936,3.5612903225806454,30,31,16.638064516129035,1,0,0,,,,2,Stressed,False
Baringo,2000,2,DS1,2.1900000000000004,23.05103448275862,32.34896551724138,14.752758620689654,38.53137931034483,27.36275862068965,3.4565517241379307,28,29,17.596206896551728,1,0,0,-0.7071067811865476,,,2,Stressed,False
Baringo,2000,3,MAM,5.66,24.026774193548388,32.90709677419355,16.085806451612903,45.58064516129032,25.52548387096774,3.637741935483871,30,31,16.821290322580644,1,1,0,0.9092991932738936,,,2,Stressed,False
Baringo,2000,4,MAM,51.77,24.15033333333333,32.57233333333333,16.944333333333333,50.25966666666667,23.555666666666664,2.906,21,30,15.628,1,1,0,1.1524296080199177,,,2,Stressed,False
Baringo,2000,5,MAM,48.69,23.675806451612903,31.28774193548387,17.14774193548387,52.29709677419355,22.16354838709677,2.2651612903225806,15,31,14.139999999999995,0,1,0,0.5165795105743256,,,2,Stressed,False
Baringo,2000,6,DS2,50.31,22.062666666666665,28.728666666666665,16.307333333333332,57.17833333333333,20.238,1.7306666666666668,16,30,12.421333333333331,1,0,0,0.0346164687973755,,,2,Stressed,False
Baringo,2000,7,DS2,94.16,20.53258064516129,26.3141935483871,15.609354838709676,65.17096774193548,20.13774193548387,1.4416129032258065,5,31,10.70483870967742,0,0,0,1.1541311980694882,,,2,Stressed,False
Baringo,2000,8,DS2,148.96,20.281935483870967,26.030967741935484,15.390967741935484,67.07935483870968,20.356129032258064,1.4590322580645163,3,31,10.64,0,0,0,1.0348766096386472,,,2,Stressed,False
Baringo,2000,9,DS2,71.57,21.720666666666663,28.57133333333333,15.361333333333334,59.529,24.136666666666667,1.8073333333333328,7,30,13.209999999999996,0,0,0,-0.8374274414775914,,,2,Stressed,False
Baringo,2000,10,OND,61.27,22.56870967741936,30.3,15.691612903225806,54.75290322580645,22.286129032258064,2.1593548387096773,12,31,14.608387096774193,0,0,1,-0.6814520332492237,,,2,Stressed,False
Baringo,2000,11,OND,34.62,21.781,29.296333333333333,15.841666666666669,61.443666666666665,19.188666666666663,3.1906666666666665,17,30,13.454666666666666,1,0,1,-1.11178914794783,,,2,Stressed,False
Baringo,2000,12,OND,20.73,22.161290322580644,30.32741935483871,15.23741935483871,55.0541935483871,21.79967741935484,3.160967741935484,23,31,15.09,1,0,1,-0.880660257686337,,,2,Stressed,False
Baringo,2001,1,DS1,67.52,21.837419354838712,29.22,15.271935483870967,56.27516129032258,20.430967741935483,2.572258064516129,11,31,13.948064516129037,0,0,0,1.10542364821247,,,2,Stressed,False
Baringo,2001,2,DS1,4.47,23.01535714285714,31.985714285714288,15.02892857142857,47.185,25.871785714285718,3.268571428571428,27,28,16.956785714285715,1,0,0,-0.8076269513498222,,,2,Stressed,False
Baringo,2001,3,MAM,56.04,23.554516129032255,32.09645161290322,16.146451612903228,47.75,23.87322580645161,3.165483870967742,20,31,15.949999999999996,1,1,0,0.3979298596829085,,,2,Stressed,False
Baringo,2001,4,MAM,123.6,23.20266666666667,31.09933333333333,16.596,59.446000000000005,22.330666666666666,2.554666666666667,12,30,14.503333333333334,0,1,0,1.0416181155536808,,,2,Stressed,False
Baringo,2001,5,MAM,64.48,23.179677419354835,30.11709677419355,17.017419354838708,58.23838709677419,22.73935483870968,1.9264516129032256,17,31,13.09967741935484,1,1,0,-0.4589077192377149,,,2,Stressed,False
Baringo,2001,6,DS2,99.8,21.1,27.077,15.908333333333331,64.86133333333333,20.07033333333333,1.4416666666666669,9,30,11.168666666666663,0,0,0,0.1290909240705769,,,2,Stressed,False
Baringo,2001,7,DS2,127.9,20.33903225806452,25.975806451612904,15.67967741935484,68.6316129032258,20.12322580645161,1.3503225806451613,3,31,10.296129032258063,0,0,0,0.9599805250192568,,,2,Stressed,False
Baringo,2001,8,DS2,107.61,20.42322580645161,25.995806451612903,15.499354838709678,69.59161290322581,20.911612903225805,1.2561290322580645,2,31,10.496451612903224,0,0,0,-0.2868067383254459,,,2,Stressed,False
Baringo,2001,9,DS2,73.47,21.737,28.353666666666665,15.564333333333334,62.03833333333333,23.736,1.6789999999999998,7,30,12.789333333333332,0,0,0,-1.0732980251633173,,,2,Stressed,False
Baringo,2001,10,OND,77.85,22.24451612903226,29.21322580645161,16.024193548387096,58.880967741935486,22.434193548387096,2.0667741935483868,13,31,13.189032258064518,0,0,1,-0.4554291123922978,,,2,Stressed,False
Baringo,2001,11,OND,96.1,21.093,27.546,16.033,68.551,18.774,2.8246666666666664,5,30,11.512999999999998,0,0,1,1.1353165597825892,,,2,Stressed,False
Baringo,2001,12,OND,7.98,21.21258064516129,29.140645161290323,14.783870967741937,62.66903225806452,21.47322580645161,3.435483870967742,29,31,14.356774193548386,1,0,1,-1.1322605929963503,,,2,Stressed,False
Baringo,2002,1,DS1,42.03,21.45741935483871,29.26516129032258,15.08483870967742,56.2341935483871,22.364838709677414,2.9093548387096773,22,31,14.180322580645162,1,0,0,-0.1501737601662973,,,2,Stressed,False
Baringo,2002,2,DS1,11.07,22.59678571428572,31.665357142857143,14.555,44.30857142857143,25.848214285714285,3.400357142857142,25,28,17.11035714285714,1,0,0,-0.4933548390115188,,,2,Stressed,False
Baringo,2002,3,MAM,59.97,23.294193548387096,31.549032258064518,16.144193548387097,55.40870967741936,23.93548387096774,3.0867741935483872,23,31,15.404838709677415,1,1,0,0.9006677199216182,,,2,Stressed,False
Baringo,2002,4,MAM,109.4,23.24366666666667,31.176666666666662,17.01033333333333,59.580666666666666,20.99866666666667,3.2703333333333333,12,30,14.166333333333334,0,1,0,1.0017918203688525,,,2,Stressed,False
Baringo,2002,5,MAM,125.18,21.68870967741936,27.92967741935484,16.37258064516129,67.55387096774194,21.711290322580645,1.8548387096774197,18,31,11.55709677419355,1,1,0,0.793523387574582,,,2,Stressed,False
Baringo,2002,6,DS2,57.52,21.808333333333334,28.528666666666663,16.0,61.59333333333333,20.89966666666667,1.723666666666667,8,30,12.528666666666666,0,0,0,-1.125652594535956,,,2,Stressed,False
Baringo,2002,7,DS2,61.91,21.745806451612903,28.861290322580647,15.14806451612903,57.96322580645161,21.741612903225807,1.806774193548387,12,31,13.713225806451616,0,0,0,-0.5184022420917899,,,2,Stressed,False
Baringo,2002,8,DS2,107.84,21.187741935483874,27.566451612903226,15.463548387096774,63.28870967741936,20.515806451612903,1.6783870967741936,11,31,12.102903225806452,0,0,0,1.1511141180768307,,,2,Stressed,False
Baringo,2002,9,DS2,24.03,23.139666666666667,31.593,15.508666666666668,48.92433333333334,23.740666666666662,2.3593333333333333,24,30,16.084333333333333,1,0,0,-0.9664981709722228,,,2,Stressed,False
Baringo,2002,10,OND,85.94,22.96903225806452,30.86096774193549,16.280322580645162,56.23548387096774,21.84225806451613,2.4961290322580645,9,31,14.580645161290324,0,0,1,0.3068188263982334,,,2,Stressed,False
Baringo,2002,11,OND,44.0,22.101333333333333,29.780666666666665,16.031,60.5,21.420666666666666,2.974,16,30,13.749666666666666,1,0,1,-0.2317655112483335,,,2,Stressed,False
Baringo,2002,12,OND,101.6,21.56451612903226,28.50967741935484,16.341290322580644,66.62258064516129,19.914516129032258,2.791612903225807,11,31,12.168387096774191,0,0,1,0.8199464962632159,,,2,Stressed,False
Baringo,2003,1,DS1,21.3,21.46032258064516,29.95903225806452,14.19483870967742,55.0858064516129,24.358709677419355,3.060967741935484,28,31,15.764193548387098,1,0,0,-0.8294132302333475,,,2,Stressed,False
Baringo,2003,2,DS1,7.88,23.461071428571422,32.528571428571425,15.477142857142857,44.66321428571428,25.666071428571428,3.361428571428572,25,28,17.051428571428566,1,0,0,-0.7046635359997117,,,2,Stressed,False
Baringo,2003,3,MAM,37.31,23.85935483870968,32.483225806451614,16.291612903225808,49.2241935483871,24.57709677419355,3.49741935483871,24,31,16.191612903225806,1,1,0,1.0280090199688143,,,2,Stressed,False
Baringo,2003,4,MAM,227.96,22.77,29.965,16.865333333333332,62.26266666666667,22.379666666666665,2.7056666666666667,12,30,13.099666666666668,0,1,0,1.1459093722884657,,,2,Stressed,False
Baringo,2003,5,MAM,114.39,21.024516129032257,26.611612903225808,16.39483870967742,74.08709677419354,21.55,1.7829032258064517,7,31,10.216774193548387,0,1,0,-0.1268265733330346,,,2,Stressed,False
Baringo,2003,6,DS2,99.17,20.697,26.33566666666667,15.835333333333333,71.04833333333333,20.582666666666668,1.4233333333333331,8,30,10.500333333333336,0,0,0,-0.682098417858678,,,2,Stressed,False
Baringo,2003,7,DS2,101.53,20.21,25.81677419354839,15.410322580645165,70.44225806451612,19.21741935483871,1.3874193548387097,5,31,10.406451612903227,0,0,0,-0.4272755862597154,,,2,Stressed,False
Baringo,2003,8,DS2,166.59,19.913870967741936,25.1858064516129,15.484193548387095,74.56935483870969,18.6658064516129,1.502258064516129,1,31,9.701612903225804,0,0,0,1.1541512833554697,,,2,Stressed,False
Baringo,2003,9,DS2,42.89,21.663666666666664,28.62933333333333,15.196333333333332,60.87233333333334,24.89933333333333,1.913,15,30,13.432999999999998,0,0,0,-0.9822592133592796,,,2,Stressed,False
Baringo,2003,10,OND,57.22,22.640967741935484,30.32903225806452,16.069032258064517,57.73451612903226,21.25516129032258,2.72,18,31,14.260000000000002,1,0,1,-0.4682099853046301,,,2,Stressed,False
Baringo,2003,11,OND,47.03,21.977,29.317,16.198666666666664,63.733,20.197666666666667,3.0653333333333337,11,30,13.118333333333336,0,0,1,-0.2734543510142947,,,2,Stressed,False
Baringo,2003,12,OND,35.75,21.075806451612905,29.455483870967743,14.348387096774196,58.06161290322581,22.74290322580645,3.2041935483870967,23,31,15.107096774193549,1,0,1,-1.0164862760736446,,,2,Stressed,False
Baringo,2004,1,DS1,26.27,22.655483870967743,30.556451612903224,16.21451612903226,58.22806451612903,21.478387096774195,3.220967741935484,24,31,14.341935483870966,1,0,0,-0.969883795474006,,,2,Stressed,False
